numeMetoda,timeStamp,threadName
Read,27.05.2021.20.04.26,main
Read,27.05.2021.20.04.26,main
Read,27.05.2021.20.04.26,main
Read,27.05.2021.20.05.07,main
Read,27.05.2021.20.05.07,main
Read,27.05.2021.20.05.07,main
Read,27.05.2021.20.05.27,main
Read,27.05.2021.20.05.27,main
Read,27.05.2021.20.05.27,main
Read,27.05.2021.20.05.40,main
Read,27.05.2021.20.05.40,main
Read,27.05.2021.20.05.40,main
Read,27.05.2021.20.08.12,main
Read,27.05.2021.20.08.12,main
Read,27.05.2021.20.08.12,main
Read,27.05.2021.20.08.59,main
Read,27.05.2021.20.08.59,main
Read,27.05.2021.20.08.59,main
Read,27.05.2021.20.13.41,main
Read,27.05.2021.20.13.42,main
Read,27.05.2021.20.13.42,main
Read,27.05.2021.20.15.00,main
Read,27.05.2021.20.15.00,main
Read,27.05.2021.20.15.00,main
Read,27.05.2021.20.15.55,main
Read,27.05.2021.20.15.55,main
Read,27.05.2021.20.15.55,main
Read,27.05.2021.20.17.55,main
Read,27.05.2021.20.17.55,main
Read,27.05.2021.20.17.55,main
getRestaurantByName,27.05.2021.20.18.07,AWT-EventQueue-0
ReadFood,27.05.2021.20.18.07,AWT-EventQueue-0
ReadDrinks,27.05.2021.20.18.07,AWT-EventQueue-0
Read,27.05.2021.20.27.48,main
Read,27.05.2021.20.27.48,main
Read,27.05.2021.20.27.48,main
Read,27.05.2021.20.38.29,main
Read,27.05.2021.20.38.29,main
Read,27.05.2021.20.38.29,main
Read,27.05.2021.20.39.06,main
Read,27.05.2021.20.39.06,main
Read,27.05.2021.20.39.06,main
Read,27.05.2021.20.39.51,main
Read,27.05.2021.20.39.51,main
Read,27.05.2021.20.39.51,main
Read,27.05.2021.20.40.55,main
Read,27.05.2021.20.40.55,main
Read,27.05.2021.20.40.55,main
Read,27.05.2021.20.42.16,main
Read,27.05.2021.20.42.16,main
Read,27.05.2021.20.42.16,main
Read,27.05.2021.20.42.42,main
Read,27.05.2021.20.42.42,main
Read,27.05.2021.20.42.42,main
Read,27.05.2021.20.48.47,AWT-EventQueue-0
Read,27.05.2021.20.48.47,AWT-EventQueue-0
Read,27.05.2021.20.48.47,AWT-EventQueue-0
Read,27.05.2021.20.49.56,AWT-EventQueue-0
Read,27.05.2021.20.49.57,AWT-EventQueue-0
Read,27.05.2021.20.49.57,AWT-EventQueue-0
Read,27.05.2021.20.50.50,AWT-EventQueue-0
Read,27.05.2021.20.50.50,AWT-EventQueue-0
Read,27.05.2021.20.50.50,AWT-EventQueue-0
Read,27.05.2021.20.50.54,AWT-EventQueue-0
Read,27.05.2021.20.50.54,AWT-EventQueue-0
Read,27.05.2021.20.50.54,AWT-EventQueue-0
Read,27.05.2021.20.52.24,main
Read,27.05.2021.20.52.24,main
Read,27.05.2021.20.52.24,main
Read,27.05.2021.20.53.08,main
Read,27.05.2021.20.53.08,main
Read,27.05.2021.20.53.08,main
Read,27.05.2021.20.53.22,main
Read,27.05.2021.20.53.22,main
Read,27.05.2021.20.53.22,main
Read,27.05.2021.20.53.54,main
Read,27.05.2021.20.53.54,main
Read,27.05.2021.20.53.54,main
Read,27.05.2021.20.54.37,main
Read,27.05.2021.20.54.37,main
Read,27.05.2021.20.54.37,main
Read,27.05.2021.20.55.22,main
Read,27.05.2021.20.55.22,main
Read,27.05.2021.20.55.22,main
Read,27.05.2021.20.55.41,main
Read,27.05.2021.20.55.41,main
Read,27.05.2021.20.55.41,main
Read,27.05.2021.20.56.04,AWT-EventQueue-0
Read,27.05.2021.20.56.04,AWT-EventQueue-0
Read,27.05.2021.20.56.04,AWT-EventQueue-0
Read,27.05.2021.20.58.33,main
Read,27.05.2021.20.58.33,main
Read,27.05.2021.20.58.33,main
Read,27.05.2021.21.59.24,main
Read,27.05.2021.21.59.24,main
Read,27.05.2021.21.59.24,main
getRestaurantByName,27.05.2021.21.59.35,AWT-EventQueue-0
ReadFood,27.05.2021.21.59.36,AWT-EventQueue-0
ReadDrinks,27.05.2021.21.59.36,AWT-EventQueue-0
Read,27.05.2021.22.14.17,main
Read,27.05.2021.22.14.18,main
Read,27.05.2021.22.14.18,main
getRestaurantByName,27.05.2021.22.14.55,AWT-EventQueue-0
ReadFood,27.05.2021.22.14.55,AWT-EventQueue-0
ReadDrinks,27.05.2021.22.14.55,AWT-EventQueue-0
Create,27.05.2021.22.16.20,AWT-EventQueue-0
Create,27.05.2021.22.16.21,AWT-EventQueue-0
Create,27.05.2021.22.16.21,AWT-EventQueue-0
Create,27.05.2021.22.16.21,AWT-EventQueue-0
Create,27.05.2021.22.16.22,AWT-EventQueue-0
Create,27.05.2021.22.16.26,AWT-EventQueue-0
Create,27.05.2021.22.16.29,AWT-EventQueue-0
Create,27.05.2021.22.16.29,AWT-EventQueue-0
Create,27.05.2021.22.16.29,AWT-EventQueue-0
Create,27.05.2021.22.16.30,AWT-EventQueue-0
Create,27.05.2021.22.17.00,AWT-EventQueue-0
Create,27.05.2021.22.17.07,AWT-EventQueue-0
Create,27.05.2021.22.17.08,AWT-EventQueue-0
Create,27.05.2021.22.17.08,AWT-EventQueue-0
Create,27.05.2021.22.17.08,AWT-EventQueue-0
Create,27.05.2021.22.17.18,AWT-EventQueue-0
Create,27.05.2021.22.17.24,AWT-EventQueue-0
Create,27.05.2021.22.17.25,AWT-EventQueue-0
Create,27.05.2021.22.17.25,AWT-EventQueue-0
Create,27.05.2021.22.17.31,AWT-EventQueue-0
Create,27.05.2021.22.17.46,AWT-EventQueue-0
Create,27.05.2021.22.17.47,AWT-EventQueue-0
Create,27.05.2021.22.17.47,AWT-EventQueue-0
Create,27.05.2021.22.17.47,AWT-EventQueue-0
Create,27.05.2021.22.17.48,AWT-EventQueue-0
Create,27.05.2021.22.17.53,AWT-EventQueue-0
Create,27.05.2021.22.17.55,AWT-EventQueue-0
Create,27.05.2021.22.17.55,AWT-EventQueue-0
Create,27.05.2021.22.17.55,AWT-EventQueue-0
Create,27.05.2021.22.17.55,AWT-EventQueue-0
Create,27.05.2021.22.18.00,AWT-EventQueue-0
Create,27.05.2021.22.18.00,AWT-EventQueue-0
Create,27.05.2021.22.18.00,AWT-EventQueue-0
Create,27.05.2021.22.18.01,AWT-EventQueue-0
Create,27.05.2021.22.18.01,AWT-EventQueue-0
Create,27.05.2021.22.18.01,AWT-EventQueue-0
Create,27.05.2021.22.18.07,AWT-EventQueue-0
Read,27.05.2021.22.18.14,AWT-EventQueue-0
Read,27.05.2021.22.18.14,AWT-EventQueue-0
Read,27.05.2021.22.18.14,AWT-EventQueue-0
getRestaurantByName,27.05.2021.22.18.40,AWT-EventQueue-0
Read,27.05.2021.22.27.26,main
Read,27.05.2021.22.27.26,main
Read,27.05.2021.22.27.26,main
Read,27.05.2021.22.28.40,main
Read,27.05.2021.22.28.41,main
Read,27.05.2021.22.28.41,main
Read,27.05.2021.22.33.54,main
Read,27.05.2021.22.33.54,main
Read,27.05.2021.22.33.54,main
Read,27.05.2021.22.34.00,AWT-EventQueue-0
Read,27.05.2021.22.34.00,AWT-EventQueue-0
Read,27.05.2021.22.34.00,AWT-EventQueue-0
Read,27.05.2021.22.34.25,main
Read,27.05.2021.22.34.25,main
Read,27.05.2021.22.34.25,main
Read,27.05.2021.22.34.45,main
Read,27.05.2021.22.34.46,main
Read,27.05.2021.22.34.46,main
Read,27.05.2021.22.34.49,AWT-EventQueue-0
Read,27.05.2021.22.34.49,AWT-EventQueue-0
Read,27.05.2021.22.34.49,AWT-EventQueue-0
Read,27.05.2021.22.35.50,main
Read,27.05.2021.22.35.50,main
Read,27.05.2021.22.35.50,main
Read,28.05.2021.02.33.37,main
Read,28.05.2021.02.33.37,main
Read,28.05.2021.02.33.37,main
Read,28.05.2021.02.34.06,main
Read,28.05.2021.02.34.06,main
Read,28.05.2021.02.34.06,main
Read,28.05.2021.02.34.29,main
Read,28.05.2021.02.34.29,main
Read,28.05.2021.02.34.29,main
Read,28.05.2021.02.35.05,main
Read,28.05.2021.02.35.05,main
Read,28.05.2021.02.35.05,main
Read,28.05.2021.02.35.23,main
Read,28.05.2021.02.35.23,main
Read,28.05.2021.02.35.23,main
Read,28.05.2021.02.36.53,main
Read,28.05.2021.02.36.53,main
Read,28.05.2021.02.36.53,main
getRestaurantByName,28.05.2021.02.36.58,AWT-EventQueue-0
getRestaurantByName,28.05.2021.02.37.16,AWT-EventQueue-0
ReadFood,28.05.2021.02.37.16,AWT-EventQueue-0
ReadDrinks,28.05.2021.02.37.16,AWT-EventQueue-0
Read,28.05.2021.02.38.13,main
Read,28.05.2021.02.38.13,main
Read,28.05.2021.02.38.13,main
getRestaurantByName,28.05.2021.02.38.20,AWT-EventQueue-0
ReadFood,28.05.2021.02.38.20,AWT-EventQueue-0
ReadDrinks,28.05.2021.02.38.20,AWT-EventQueue-0
Read,28.05.2021.02.39.13,main
Read,28.05.2021.02.39.13,main
Read,28.05.2021.02.39.13,main
getRestaurantByName,28.05.2021.02.39.17,AWT-EventQueue-0
ReadFood,28.05.2021.02.39.17,AWT-EventQueue-0
ReadDrinks,28.05.2021.02.39.17,AWT-EventQueue-0
Read,28.05.2021.02.39.56,main
Read,28.05.2021.02.39.56,main
Read,28.05.2021.02.39.56,main
getRestaurantByName,28.05.2021.02.40.01,AWT-EventQueue-0
ReadFood,28.05.2021.02.40.01,AWT-EventQueue-0
ReadDrinks,28.05.2021.02.40.01,AWT-EventQueue-0
Read,28.05.2021.02.40.32,main
Read,28.05.2021.02.40.32,main
Read,28.05.2021.02.40.32,main
getRestaurantByName,28.05.2021.02.40.37,AWT-EventQueue-0
ReadFood,28.05.2021.02.40.37,AWT-EventQueue-0
ReadDrinks,28.05.2021.02.40.37,AWT-EventQueue-0
