methodName,date,threadName
FindUserByUserName,26.05.2021.15.44.12,main
FindUserById,26.05.2021.15.46.11,main
FindUserByUserName,26.05.2021.15.46.12,main
Update,26.05.2021.15.46.12,main
Read,27.05.2021.00.49.45,main
Read,27.05.2021.00.50.51,main
Read,27.05.2021.00.51.58,main
Read,27.05.2021.00.53.51,main
Read,27.05.2021.00.54.11,main
Read,27.05.2021.00.54.33,main
Read,27.05.2021.01.00.05,main
getRestaurantByName,27.05.2021.01.00.10,AWT-EventQueue-0
getRestaurantByName,27.05.2021.01.00.13,AWT-EventQueue-0
getRestaurantByName,27.05.2021.01.00.13,AWT-EventQueue-0
getRestaurantByName,27.05.2021.01.00.13,AWT-EventQueue-0
getRestaurantByName,27.05.2021.01.00.13,AWT-EventQueue-0
getRestaurantByName,27.05.2021.01.00.13,AWT-EventQueue-0
Read,27.05.2021.01.00.30,main
getRestaurantByName,27.05.2021.01.00.35,AWT-EventQueue-0
Read,27.05.2021.01.02.10,main
getRestaurantByName,27.05.2021.01.02.15,main
getRestaurantByName,27.05.2021.01.04.43,main
getRestaurantByName,27.05.2021.01.05.20,main
Read,27.05.2021.01.05.29,main
getRestaurantByName,27.05.2021.01.05.34,AWT-EventQueue-0
getRestaurantByName,27.05.2021.01.05.37,AWT-EventQueue-0
getRestaurantByName,27.05.2021.01.05.37,AWT-EventQueue-0
getRestaurantByName,27.05.2021.01.05.37,AWT-EventQueue-0
Read,27.05.2021.01.06.27,main
getRestaurantByName,27.05.2021.01.06.32,AWT-EventQueue-0
Read,27.05.2021.01.07.07,main
getRestaurantByName,27.05.2021.01.07.11,AWT-EventQueue-0
Read,27.05.2021.01.08.20,main
getRestaurantByName,27.05.2021.01.08.26,AWT-EventQueue-0
Read,27.05.2021.01.10.28,main
getRestaurantByName,27.05.2021.01.10.32,AWT-EventQueue-0
getRestaurantByName,27.05.2021.01.10.38,AWT-EventQueue-0
Read,27.05.2021.01.11.53,main
getRestaurantByName,27.05.2021.01.11.59,AWT-EventQueue-0
Read,27.05.2021.01.38.13,main
getRestaurantByName,27.05.2021.01.38.19,AWT-EventQueue-0
Read,27.05.2021.14.25.51,main
getRestaurantByName,27.05.2021.14.26.10,AWT-EventQueue-0
ReadItems,27.05.2021.14.26.10,AWT-EventQueue-0
Read,27.05.2021.14.28.50,main
getRestaurantByName,27.05.2021.14.31.38,AWT-EventQueue-0
ReadItems,27.05.2021.14.31.38,AWT-EventQueue-0
Read,27.05.2021.15.23.06,main
Read,27.05.2021.15.23.35,main
